Run,Gen,Rule,Fitness,anchoring_bias,attentional_bias,cognitive_dissonance,confirmation_bias,conformity_bias,egocentric_bias,recency_bias
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.398981453,0,0,1,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.389779809,0,0,1,0,0,0,0
0,10,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.382056607,0,0,2,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.402603395,0,0,1,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.381133167,0,0,1,0,0,0,0
0,10,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.368395946,0,0,2,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.380442882,0,0,1,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.387363878,0,0,1,0,0,0,0
0,10,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.376318352,0,0,2,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.390481624,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.341375929,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.336340621,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.37497529,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.428818707,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.390849813,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.35863377,0,0,1,0,0,0,0
0,11,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.385384466,0,0,2,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.389015573,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.39917008,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.405991346,0,0,1,0,0,0,0
0,11,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.369072821,0,0,2,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.388017285,0,0,1,0,0,0,0
0,11,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.372876903,0,0,2,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.368014143,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.385961845,0,0,1,0,0,0,0
0,11,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.407649486,0,0,1,0,0,0,0
